pipeline_id,n_frames,mean_ms,avg_ms,std_ms
heatmap_cnn,500,403.3244497491978,403.3244497491978,24.69483005159981
resnet18_head,500,116.12682534276973,116.12682534276973,10.750498568491949
rt_detr,500,505.51483463775367,505.51483463775367,117.61744050288983
yolov11n,500,35.106836391147226,35.106836391147226,9.496908861304044
yolov8n,500,32.230265801772475,32.230265801772475,4.607913953451682
