model,mixed_test_precision,n_frames,mean_ms,avg_ms,std_ms
rt_detr,0.9897050866,500,505.51483463775367,505.51483463775367,117.61744050288983
yolov11n,0.9876112314,500,35.106836391147226,35.106836391147226,9.496908861304044
heatmap_cnn,0.9847567941,500,403.3244497491978,403.3244497491978,24.69483005159981
resnet18_head,0.9832882395,500,116.12682534276973,116.12682534276973,10.750498568491949
yolov8n,0.9812981000,500,32.230265801772475,32.230265801772475,4.607913953451682
